UGC00891    S   63.75  26.57  28.75  17.86 7.56E+08  3.50 4.65E+10
UGC02259    S   90.00  36.92  76.15  29.49 1.52E+09  4.01 1.39E+11
UGC02455    S   61.00  57.14  30.44  56.18 2.89E+09  1.93 4.05E+10
UGC02487    S  383.00 251.56 376.62 250.17 2.69E+11 10.67 1.40E+13
UGC02885    S  305.00 231.80 260.15 210.89 2.55E+11 21.76 6.75E+12
UGC02916    S  218.00 237.95 209.71 197.65 9.30E+10  8.55 2.31E+12
UGC02953    S  319.00 247.65 319.00 238.35 1.40E+11  5.31 7.79E+12
UGC03205    S  237.00 174.00 236.00 173.49 6.97E+10  5.94 3.02E+12
UGC03546    S  262.00 330.90 193.03 167.97 5.42E+10  2.52 4.16E+12
UGC03580    S  131.00  97.26  96.63  84.30 1.24E+10  5.84 4.57E+11
UGC04278    S   92.80  46.03  45.88  21.46 2.14E+09  5.70 1.53E+11
UGC04305    S   37.30  33.87  24.47  19.17 1.29E+09  3.21 8.57E+09
UGC04325    S   92.70  44.02  87.71  37.41 1.91E+09  3.14 1.52E+11
UGC04499    S   74.30  39.87  49.06  27.20 2.24E+09  4.77 7.56E+10
UGC05005    S  100.00  43.08  37.87  25.08 6.16E+09 15.24 1.94E+11
UGC05253    S  248.00 238.24 246.00 208.09 1.08E+11  6.08 3.49E+12
UGC05414    S   61.40  33.68  41.04  26.20 1.32E+09  2.52 4.13E+10
UGC05716    S   74.70  31.57  49.52  20.96 1.75E+09  6.86 7.69E+10
UGC05721    S   82.60  34.76  81.92  29.52 1.01E+09  3.33 1.06E+11
UGC05750    S   78.90  41.46  24.89  15.88 3.13E+09 13.59 9.14E+10
UGC05764    S   55.80  22.22  49.25  16.24 2.59E+08  2.08 3.05E+10
UGC05829    S   68.60  37.43  34.69  12.54 1.64E+09  5.10 5.87E+10
UGC05918    S   44.50  19.72  29.16   9.21 5.12E+08  3.04 1.49E+10
UGC05986    S  116.00  56.04  98.38  51.27 5.89E+09  3.44 3.11E+11
UGC06399    S   87.60  38.86  58.74  27.28 2.04E+09  4.54 1.27E+11
UGC06446    S   84.90  38.55  64.44  24.16 2.33E+09  6.00 1.15E+11
UGC06614    S  205.00 209.41 184.29 186.91 9.13E+10 13.15 1.90E+12
UGC06667    S   85.70  30.25  54.81  12.29 1.77E+09  5.12 1.19E+11
UGC06786    S  229.00 175.04 219.00 155.28 4.34E+10  4.47 2.71E+12
UGC06787    S  276.00 271.81 243.26 170.76 5.58E+10  2.77 4.91E+12
UGC06818    S   74.40  32.73  31.86  28.59 2.23E+09  3.73 7.59E+10
UGC06917    S  111.00  56.30  79.59  43.25 6.11E+09  6.44 2.70E+11
UGC06923    S   81.10  47.91  61.65  43.56 2.52E+09  2.88 9.97E+10
UGC06930    S  109.00  60.56  78.67  41.51 8.77E+09  8.06 2.55E+11
UGC06983    S  113.00  51.91  90.67  43.65 6.60E+09  7.81 2.86E+11
UGC07089    S   79.10  42.06  40.58  29.31 3.41E+09  5.01 9.22E+10
UGC07125    S   65.60  44.56  31.20  24.34 7.51E+09 10.46 5.10E+10
UGC07151    S   76.20  44.10  64.66  36.63 1.96E+09  3.54 8.19E+10
UGC07323    S   85.60  51.74  52.58  35.03 3.01E+09  3.91 1.18E+11
UGC07399    S  106.00  33.87  91.53  32.51 1.57E+09  3.27 2.33E+11
UGC07524    S   83.80  43.92  44.96  19.35 3.58E+09  7.73 1.11E+11
UGC07559    S   32.10  19.76  18.91  13.18 2.79E+08  1.79 5.34E+09
UGC07577    S   17.80  12.60   6.69   5.52 8.10E+07  1.10 8.39E+08
UGC07603    S   64.00  27.55  58.22  27.15 5.31E+08  1.56 4.71E+10
UGC07690    S   60.70  36.49  60.65  35.71 9.48E+08  1.59 3.99E+10
UGC07866    S   33.10  18.42  23.18  12.75 2.19E+08  1.53 5.88E+09
UGC08286    S   84.30  35.34  72.65  29.57 1.48E+09  3.94 1.13E+11
UGC08490    S   80.10  35.71  76.29  35.55 1.47E+09  2.96 9.59E+10
UGC08550    S   57.80  24.64  48.45  23.06 5.28E+08  3.96 3.41E+10
UGC08699    S  202.00 214.73 170.49 125.86 3.01E+10  3.85 1.82E+12
UGC08837    S   48.00  29.32  18.56  13.25 6.76E+08  2.82 1.90E+10
UGC09037    S  160.00 116.33 102.52 107.36 5.97E+10 10.23 8.64E+11
UGC09133    S  289.00 283.20 287.52 244.07 1.86E+11  8.06 5.69E+12
UGC10310    S   73.20  40.86  52.31  24.84 2.46E+09  4.84 7.21E+10
UGC11455    S  291.00 232.15 232.60 204.66 2.05E+11 10.36 5.81E+12
UGC11820    S   84.45  38.77  49.23  20.19 3.11E+09  8.75 1.13E+11
UGC12506    S  255.00 134.55 210.25 101.90 1.17E+11 18.78 3.82E+12
UGC12632    S   73.20  36.66  44.04  18.21 2.97E+09  7.28 7.21E+10
UGC12732    S   98.00  46.29  59.03  23.06 5.70E+09 11.78 1.82E+11
UGCA442     S   57.80  24.49  34.31  18.27 4.20E+08  2.18 3.41E+10
UGCA444     S   38.30  16.18  25.38  14.49 9.51E+07  1.19 9.32E+09
U11707      A  103.74  32.33  63.19  22.91 2.24E+09  5.99 2.18E+11
N2552       A   96.10  35.28  68.53  30.81 1.78E+09  3.43 1.71E+11
wlm         LT  38.53  14.84  26.93  10.86 1.73E+08  2.22 9.49E+09
ddo87       LT  56.63  18.79  22.83   4.92 5.85E+08  4.68 3.20E+10
ddo50       LT  38.84  33.88  22.29   7.38 1.67E+09  4.62 9.74E+09
ddo52       LT  61.72  22.52  38.71  10.70 6.30E+08  3.80 4.20E+10
ngc1569     LT  39.28  38.68  23.57  20.45 1.12E+09  2.84 1.01E+10
haro29      LT  43.49  12.00  29.82   9.69 1.68E+08  4.36 1.39E+10
cvnidwa     LT  26.45   8.89   9.14   8.43 4.53E+07  1.68 2.91E+09
ddo133      LT  46.73  18.84  32.36  11.48 2.87E+08  2.28 1.74E+10
ic1613      LT  21.13  15.29   6.13   5.03 1.47E+08  1.82 1.44E+09
ddo216      LT  18.91   8.45  12.69   6.90 1.73E+07  0.60 1.01E+09
ddo126      LT  38.74  18.70  19.63  10.07 2.91E+08  2.44 9.66E+09
NGC 925     TH 114.50  75.56  54.41  46.03 1.73E+10  9.65 2.98E+11
NGC 3621    TH 159.20 118.03 130.41 116.23 3.48E+10  6.38 8.50E+11
ngc4396     R   99.46  30.63  79.58  30.13 1.12E+09  2.71 1.91E+11
ngc6106     R  124.75  68.67 114.06  68.32 5.46E+09  2.58 3.91E+11
ugc4169     R   97.72  46.37  74.84  38.39 3.11E+09  3.65 1.80E+11
ugc3371     R   64.01  15.95  36.79  10.54 3.98E+08  4.26 4.71E+10
